,,,
,pdf,tasks,class assigned
,305a,complete assigned readings,Participation
,,prepare for exams,Exams
,,submit optional paper,"Designs,Reports and Analyses"
,PSY345,term tests,Exams
,,quizzes,Assignments
,,paper submission,"Designs,Reports and Analyses"
,PSY100,labs,Assignments
,,term tests,Exams
,MAT392,"assignment1: essay draft,","Designs,Reports and Analyses"
,,assignment2: first essay,"Designs,Reports and Analyses"
,,assignment3: second essay,Proposals and Plans
,,oral presentation,Presentations and Demos
,,final exam,Exams
,AST101,term test 1,Exams
,,term test 2,Exams
,,homework assignment 1 -5,Assignments
,,final exam,Exams
,CCT111,assignment 1 & 2(coding exercise),Assignments
,,assignment 3 report,"Designs,Reports and Analyses"
,,assignment 3(presentation & report),Presentations and Demos
,,term tests 1 &2,Exams
,MGT374,other(simulation performance),Other
,,weekly quizzes,Other
,,smartbook submission,Other
,,term test,Exams
,,final exam,Exams
,MGT428,presentation,Presentations and Demos
,,weekly case submissions & peer evalutaions,Other
,,final exam,Exams
,MGT453,online discussion board & course reflection,Participation
,,online module,Other
,,term tests,Exams
,,group project 3 parts,Other
,MGT495,Class Participation,Participation
,,Term Sheet Presentation,Presentations and Demos
,,Case write-ups,"Designs,Reports and Analyses"
,,Business Plan Presentation,Presentations and Demos
,SOC322,Essay,Assignments
,,Term Test (2),Exams
,,Annotated Bibliography,Other
,SOC465,Term Test (2),Exams
,,Response Paper(2),Assignments
,,Review Essay on xyz book,Assignments
,LIN102,Tutorial Exercises,Assignments
,,Homework quizzes,Assignments
,,Written Homework,Assignments
,,Final Exam,Exams
,PSY379,Experiment Worksheets,Assignments
,,paricipiation,Participation
,,Research Proposal,Proposals and Plans
,,Oral Presentation,Presentations and Demos
,AC297(repeated),Midterms(2),Exams
,,Phase 1: project selection,Milestones and Deliverables
,,final presentation,Presentations and Demos
,,Phase 2 : learning & data exploration,"Designs,Reports and Analyses"
,,Poster Session,Milestones and Deliverables
,,final report,"Designs,Reports and Analyses"
,,Phase 3: formulation of solution,Milestones and Deliverables
,,peer assessment,Other
,Advanced Data Visualization,Discussion Post,Other
,,Interactive Dashboards,Other
,,Visualization Project,Assignments
,,Chart & Graph design,Assignments
,,Presentation of Data,Presentations and Demos
,RBT 480,Class meetings,Participation
,,Individiual meetings,Participation
,,system design & simulation,"Designs,Reports and Analyses"
,,poster,"Designs,Reports and Analyses"
,,user feedback,Other
,,presentation,Presentations and Demos
,,final report,"Designs,Reports and Analyses"
,,project proposal,Proposals and Plans
,APS111,Problem Statement & Questions,Proposals and Plans
,,Project Requirements,Proposals and Plans
,,Conceptual Design Specifications,"Designs,Reports and Analyses"
,,Research Worksheets,Assignments
,,engineering notes,Other
,,seminar participation & oral presentation,Participation
,,Professional Development,Other
,,midterm exam,Exams
,,Final Exam,Exams
,APS112,project requirements & project management plan,Proposals and Plans
,,conceptual design Specification,"Designs,Reports and Analyses"
,,final design specification,"Designs,Reports and Analyses"
,,in tutorial presentation,Presentations and Demos
,,final presentation,Presentations and Demos
,,quizzes,Assignments
,,lessons learned & stratetgy,Other
,,project manager report,Milestones and Deliverables
,,Professional Development,Other
,ART322,site analysis report,"Designs,Reports and Analyses"
,,concept proposal,Proposals and Plans
,,detailed design plan,Proposals and Plans
,,stakeholder feedback summary,"Designs,Reports and Analyses"
,,construction log,Other
