| Task |Task Percentage| Description | Deadline |
| --- | --- | --- |
| Syllabus quiz | N/A | Complete syllabus quiz for access to rest of course materials | N/A |
| Tutorial 1 | N/A | N/A | N/A |
| Lecture 1: Introduction | N/A | N/A | N/A |
| Tutorial 2 | N/A | N/A | N/A |
| Lecture 2: Morphology I | N/A | N/A | N/A |
| Tutorial 3 | N/A | N/A | N/A |
| Lecture 3: Morphology II | N/A | N/A | N/A |
| Tutorial 4 | N/A | N/A | N/A |
| Lecture 4: Syntax I | N/A | N/A | N/A |
| Tutorial 5 | N/A | N/A | N/A |
| Lecture 5: Syntax II | N/A | N/A | N/A |
| Tutorial 6 | N/A | N/A | N/A |
| Lecture 6: Syntax III | N/A | N/A | N/A |
| Tutorial 7 | N/A | N/A | N/A |
| Lecture 7: Syntax IV; Sentence Processing I | N/A | N/A | N/A |
| Tutorial 8 | N/A | N/A | N/A |
| Lecture 8: Sentence Processing II; Language Acquisition | N/A | N/A | N/A |
| Tutorial 9 | N/A | N/A | N/A |
| Lecture 9: Semantics I | N/A | N/A | N/A |
| Tutorial 10 | N/A | N/A | N/A |
| Lecture 10: Semantics II | N/A | N/A | N/A |
| Tutorial 11 | N/A | N/A | N/A |
| Lecture 11: Pragmatics I | N/A | N/A | N/A |
| Tutorial 12 | N/A | N/A | N/A |
| Lecture 12: Pragmatics II | N/A | N/A | N/A |
| Exam review | N/A | N/A | N/A |
| Final exam | N/A | N/A | N/A |
| Milestone 0 - basic SW tools and debugging (individual) | 2% | Debug a program and submit the fixed code and demo | N/A |
| Milestone 1 – create and load data structures, answer simple queries | 9% | Submit code | N/A |
| Code review | 2% | Write a brief document detailing what you like and don’t like about another team’s Milestone 1 code | N/A |
| Milestone 2 - graphics: draw map | 11% | Submit code and demo | N/A |
| Milestone 3 – finding travel routes between points | 11% | Submit code and demo | N/A |
| Milestone 4 – find an order and route for a set of courier deliveries to minimize travel time | 11% | Submit code and demo | N/A |
| Weekly status reporting to TA | 4% | Write status reports on wiki each week | N/A |
| Weekly status reporting to CI | 4% | Write status reports on wiki each week | N/A |
| Written Document 1: Graphics Proposal | 8% | Write a written document summarizing your plan of how to visualize a city map, and any interesting features | N/A |
| Oral Presentation 1: graphics functionality / demo | 8% | Give an oral progress presentation detailing your original plan for visualizing the map, your evaluation of the implementation and any changes that you made | N/A |
| Oral 1 Analysis (Individual) | 2% | Write a brief written analysis of your own oral presentation performance: what did you do well and what could you improve? | N/A |
| Written Document 2: final report and plan | 14% | Write a final report and plan, part of which is “client-facing” and should detail the interesting features of your program, and list a plan for a future project / set of features that could be built into the program to address some interesting business opportunity. The other half of the report will be technical (in industry, it would be intended for engineering management) and will give an overview of your software organization choices, algorithm and data structure choices, and performance data. | N/A |
| Oral Presentation 2: project summary and pitch | 14% | Give a final presentation summarizing what you achieved in your program, and it is intended for both a client and engineering management audience. Describe the interesting features of your program, including screenshots (and possibly a brief demo), and give a “pitch” for a future feature(s) that you could add to the program to address some business opportunity; you want to convince the client (CI) to fund development of these new feature(s). | N/A |
