| Task |Task Percentage| Description | Deadline |
| --- | --- | --- | --- |
| Milestone 0 - basic SW tools & debugging (individual) | 2 | You will debug a program we give you, submit the fixed code & demo that you can use source code control and debugging tools to the TA. | Friday, Jan. 16 |
| Milestone 1 – create & load data structures, answer simple queries | 9 | Submit code. The code will be graded for correctness and style. | Monday, Feb. 2 |
| Code review | 2 | You will be given another team’s Milestone 1 code, and will write a brief document detailing what you like and don’t like about the code style. The TA will mark the quality of your feedback. | Monday, Feb. 9 |
| Milestone 2 - graphics: draw map | 11 | Submit code & demo to TA. Your mark will be based on the quality of your map visualization, and on the code style. | Monday, Feb. 23 |
| Milestone 3 – finding travel routes between points | 11 | Submit code & demo to TA. You will be marked on the performance of your path-finding algorithm, the style of your code, and the usability of your user interface. | Monday, March 16 |
| Milestone 4 – find an order and route for a set of courier deliveries to minimize travel time | 11 | Submit code & demo to TA. You will be marked on the performance of your route-finding algorithm, the style of your code, and the usability of your user interface. | Thursday, April 2 |
| Weekly status reporting to TA | 4 | Write status reports on wiki each week. Arrive at lab prepared to show code status, and summarize progress and next steps well. | All Semester |
| Weekly status reporting to CI | 4 | Write status reports on wiki each week. Arrive at tutorial prepared to show document and program user interface status, and summarize progress and next steps well. | All Semester |
| Written Document 1: Graphics Proposal | 8 | This is a written document summarizing your plan of how to visualize a city map, and any interesting features. It should be written for a client (person paying you to develop the program). | Friday, Feb. 13 |
| Oral Presentation 1: graphics functionality / demo | 8 | Oral progress presentation detailing your original plan for visualizing the map, your evaluation of the implementation and any changes that you made. | Scheduled Feb. 23 to March 6 |
| Oral 1 Analysis (Individual) | 2 | A brief written analysis of your own oral presentation performance: what did you do well and what could you improve? | Monday, March 9 |
| Written Document 2: final report & plan | 14 | Part of this final report is “client-facing” and should detail the interesting features of your program, and list a plan for a future project / set of features that could be built into the program to address some interesting business opportunity. The CI will mark this portion. The other half of the report will be technical (in industry, it would be intended for engineering management) and will be marked by the TA. This part of the report will give an overview of your software organization choices, algorithm and data structure choices, and performance data. | Friday , April 10 |
| Oral Presentation 2: project summary & pitch | 14 | This is a final presentation summarizing what you achieved in your program, and it is intended for both a client and engineering management audience. You should describe the interesting features of your program, including screenshots (and possibly a brief demo), and you should give a “pitch” for a future feature(s) that you could add to the program to address some business opportunity; you want to convince the client (CI) to fund development of these new feature(s). | Monday, April 13 |
