| Task | Task Percentage | Description | Deadline |
|---|---|---|---|
| Project Proposal | 10% | Proposal outlining the documentary topic, objectives, and initial ideas. | September 15, 2022 |
| Draft Script | 15% | Draft of the documentary script, including narrative structure and dialogue. | October 15, 2022 |
| Production Plan | 10% | Detailed plan for production, including schedules, equipment needs, and crew roles. | November 1, 2022 |
| Raw Footage Submission | 15% | Submission of unedited footage captured during filming. | December 1, 2022 |
| Rough Cut | 15% | Initial edited version of the documentary, including basic cuts and sequencing. | January 15, 2023 |
| Final Cut | 20% | Final edited version of the documentary, including sound, color correction, and final touches. | February 28, 2023 |
| Screening Preparation | 10% | Preparation for the final screening, including additional materials and presentation elements. | March 15, 2023 |
| Final Documentary | 15% | Completed documentary film presented at the final screening. | March 22, 2023 |
| Reflection Report | 10% | Reflective report on the production process, challenges, and overall learning experience. | April 1, 2023 |
| Course Introduction & Team Setup | N/A | Introduction to documentary filmmaking and team formation. | N/A |
| Scriptwriting | N/A | Developing and refining the script. | N/A |
| Production Planning | N/A | Planning production logistics and equipment setup. | N/A |
| Filming | N/A | Capturing footage. | N/A |
| Editing Basics | N/A | Introduction to editing software and techniques. | N/A |
| Post-Production | N/A | Finalizing the edit, sound, and color correction. | N/A |
| Presentation Preparation | N/A | Preparing for the final screening and presentation. | N/A |
| Final Screening & Critique | N/A | Screening documentaries and participating in a critique session. | N/A |
| Reflection & Feedback | N/A | Reflecting on the project and course experience. | N/A |
