| Task | Task Percentage | Description | Deadline |
| --- | --- | --- | --- |
| Team Formation | 5% | Document outlining team members, roles, and initial project ideas. | September 15, 2022 |
| Literature Review & Research Proposal | 10% | Summarize relevant research on AI and robotics, propose a design and implementation plan for the robotic system. | October 15, 2022 |
| AI & Computer Vision Design Proposal | 15% | Detailed proposal for the design and implementation of AI and computer vision in the robotic system. | November 15, 2022 |
| Mid-Term Presentation | 15% | Presentation showcasing preliminary designs, progress, and challenges. | December 15, 2022 |
| Initial System Design Report | 10% | Report detailing the initial robotic system design, components, and algorithms. | January 31, 2023 |
| Sensor Integration Report | 10% | Report on sensor integration, testing, and calibration with the robotic system. | February 28, 2023 |
| Final Testing Report | 15% | Comprehensive report on final system testing, performance, and optimization. | March 31, 2023 |
| Final Presentation | 10% | Presentation of the complete robotic system, covering design, implementation, and results. | April 15, 2023 |
| Final Report | 10% | Detailed report covering all project aspects, from design to testing and implementation. | April 15, 2023 |
