| Task | Task Percentage | Description | Deadline |
|---|---|---|---|
| Project Proposal | N/A | Create a proposal outlining visual style, lighting techniques, camera movements, timeline, and team roles. | Week 3 |
| Visual Research and Shot Planning | N/A | Conduct visual research, analyze films/photography, and develop a shot plan with camera setups, lighting diagrams, and shot lists. | Weeks 4-6 |
| Principal Photography | N/A | Execute the planned visual style and lighting, capturing all required shots. | Weeks 7-10 |
| Post-Production and Color Grading | N/A | Edit footage, enhance visual style with color grading and effects, ensuring it matches the proposed style. | Weeks 11-12 |
| Final Report | N/A | Document the cinematography process, challenges, solutions, and outcomes. | N/A |
| Presentation | N/A | Prepare a screening or presentation showcasing the cinematographic style for the Innovation Showcase. | Weeks 13-15 |
| Group Collaboration | N/A | Regular group meetings to discuss progress, resolve issues, and receive instructor guidance. | Throughout the course |
| Class Meetings | 20 points | Attend and actively participate in class meetings. | N/A |
| Individual Meetings | 12 points | Attend individual meetings for project guidance and feedback. | Sep 4, Oct 2, Nov 13 |
| Poster | 10 points | Create a poster for the Innovation Showcase. | Dec 6 |
