| Task | Task Percentage | Description | Deadline |
| --- | --- | --- | --- |
| Formulate and write a detailed proposal | N/A | Describe the work to be done on the project and defend it orally, including a problem specification, literature survey, project analysis and breakdown, technical approach, equipment and tools required, and a project organization plan. | August 25 |
| Weekly Progress Report | N/A | N/A | N/A |
| Individual Task and Presentation | N/A | N/A | N/A |
| Midterm Report "White Paper" | N/A | N/A | July 29 |
| Final Written Proposal | N/A | N/A | August 18, 19 |
| Final Oral Presentation | N/A | N/A | August 18, 19 |
| Meeting Participation and Teamwork | N/A | N/A | N/A |
| Brainstorming | N/A | N/A | July 15 |
| Analysis of the Project | N/A | N/A | July 22 |
| Feasibility Study | N/A | N/A | N/A |
| Division of Tasks and Project Management | N/A | N/A | July 26 |
| Intellectual Property | N/A | N/A | N/A |
| Materials Selection | N/A | Identify equipment and perform cost analysis within the budget. | August 9 |
| Effective Written and Oral Communication | N/A | Prepare written and oral presentations on the design proposal. | August 18, 19 |
