| Task | Task Percentage | Description | Deadline |
| --- | --- | --- | --- |
| Review the criteria for accreditation by ABET’s Technology Accreditation Commission | N/A | Match them to the student outcomes of the electronics engineering technology program, and generate a capstone project that demonstrates mastery of the outcomes. | N/A |
| Design a capstone project based on past academic, professional, and personal learning experiences | N/A | Involves conducting research on a problem, issue, event, developing technology, or case study in the electronics engineering technology field. | N/A |
| Demonstrate proficiency as an independent learner and critical thinker | N/A | By preparing a comprehensive research paper on a problem, issue, event, developing technology, or case study. | N/A |
| Research, interpret, and critically analyze literature pertaining to the capstone project | N/A | N/A | N/A |
| Synthesize research findings, theories, and practice into a comprehensive explanation and resolution of the problem, issue, event, developing technology, or case study | N/A | N/A | N/A |
| Communicate effectively by making technical presentations in English using language appropriate to peers and other audiences | N/A | N/A | N/A |
| Summarize the historical development, current state, and future direction of their field of study as related to the capstone project | N/A | N/A | N/A |
| Function effectively as a team member with an understanding of cultural diversity | N/A | N/A | N/A |
| Critique the professional, ethical, and social responsibilities in the electronics engineering technology field as it applies to the capstone project | N/A | N/A | N/A |
| Submit an ethically responsible final project in an academic, professional format that serves as a bridge to their future work or employment | N/A | N/A | N/A |
| Organizing into Teams and Identifying a Capstone Project | N/A | N/A | N/A |
| Research Methods and Literature Review | N/A | N/A | N/A |
| Outline and Progress Report | N/A | N/A | N/A |
| Presentation of Capstone Project Paper | N/A | N/A | N/A |
| Submission of the Final Capstone Project Paper | N/A | N/A | N/A |
| Top Ranked Methods for Capstone Courses | N/A | N/A | N/A |
| TESU and ABET Program and Student Outcomes | N/A | N/A | N/A |
| Teaming | N/A | N/A | N/A |
| Final Team Problem Statement | N/A | N/A | N/A |
| Oral Project Presentation | N/A | N/A | N/A |
| Project Presentation; Discussion and Constructive Critique | N/A | N/A | N/A |
| Research Methodology and Team Participation | N/A | N/A | N/A |
| Progress Report 1 | N/A | N/A | N/A |
| Progress Report 2 | N/A | N/A | N/A |
| Problem Statement | N/A | N/A | N/A |
| Capstone Project Paper Outline | N/A | N/A | N/A |
| Final Capstone Project Paper | N/A | N/A | N/A |
| Select a problem statement | N/A | N/A | N/A |
| Prepare a paper outline with bibliography | N/A | N/A | N/A |
| Complete two progress reports | N/A | N/A | N/A |
| Post an oral presentation as a video file | N/A | N/A | N/A |
| Submit the final paper | N/A | N/A | N/A |
| Post discussion comments and constructive criticism of other students' oral presentations on discussion forums | N/A | N/A | N/A |
| Rate your team members' efforts in completing your final research paper | N/A | N/A | N/A |
| Demonstrate a fundamental mastery of the knowledge, techniques, skills and modern tools required for electronics and/or related fields | N/A | N/A | N/A |
| Demonstrate an ability to understand and apply current concepts in the areas of mathematics, science, engineering, and technology to problems / issues encountered using proper application of principles and applied procedures or methodologies | N/A | N/A | N/A |
| Demonstrate the ability to conduct standard tests and measurements in the lab or in the field; similarly, to conduct, analyze, and interpret experiments; and apply results to resolve technical challenges and improve processes | N/A | N/A | N/A |
| Demonstrate the ability to design or redesign systems, components or processes appropriate for the challenges encountered | N/A | N/A | N/A |
| Demonstrate effective leadership and participation as a member of a technical team | N/A | N/A | N/A |
| Demonstrate a capability to solve technical problems through proper identification, research, and systematic analysis of the issue | N/A | N/A | N/A |
| Demonstrate proficiency in oral, written, and graphical communications in a technical and non-technical setting utilizing standard English | N/A | N/A | N/A |
| Demonstrate an ability to identify and use appropriate technical literature, documents and procedures | N/A | N/A | N/A |
| Demonstrate the need for and commitment to engage in self-directed continuing professional development and lifelong learning in one’s discipline | N/A | N/A | N/A |
| Demonstrate professional, ethical, and social responsibilities within the electronics field, while recognizing differences due to culture and diversity | N/A | N/A | N/A |
| Demonstrate recognition of the impacts of electronics technology solutions in an expanding societal and global context | N/A | N/A | N/A |
| Demonstrate a commitment to quality, timeliness, and continuous improvement in professional activities | N/A | N/A | N/A |
