| Task | Task Percentage | Description | Deadline |
|---|---|---|---|
| Identify human systems engineering project topic | N/A | N/A | N/A |
| Write a proposal with timeline | N/A | N/A | N/A |
| Complete a project based on research and/or experience in an applied setting | N/A | N/A | N/A |
| Write a report on the project | N/A | N/A | N/A |
| Give an “elevator pitch” | N/A | N/A | N/A |
| Create a poster presentation | N/A | N/A | N/A |
| Participate in group meetings | N/A | Discuss project progress, issues, ideas, and decisions. | N/A |
| Attend individual meetings with the instructor | N/A | Discuss project progress, methods, data analysis, and any issues. | Sep 4, Oct 2, Nov 13 |
| Brainstorm ideas | N/A | N/A | Aug 26 |
| Present idea to the group | N/A | N/A | Sep 18 |
| Report on chapter | N/A | N/A | Sep 18 |
| Present proposal to the group | N/A | N/A | Oct 23 |
| Discuss progress and professional issues | N/A | N/A | Nov 27 |
| Submit report | N/A | N/A | Nov 27 |
| Present to the group | N/A | N/A | Nov 27 |
| Present poster at Innovation Showcase | N/A | N/A | Dec 6 |
| Complete assigned readings before class | N/A | N/A | N/A |
| Participate in class discussions, demos, and assignments | N/A | N/A | N/A |
| Make one-on-one appointments with the instructor | N/A | N/A | N/A |
| Carry out an independent project | N/A | N/A | N/A |
| Seek help, advice, or information from the instructor as needed | N/A | N/A | N/A |
| Register with the ASU Disabilities Resource Center | N/A | N/A | N/A |
| Provide documentation of registration to the instructor | N/A | N/A | N/A |
| Communicate accommodation needs in a timely manner | N/A | N/A | N/A |
| Attend class meetings | 20% | Follow up on assignments and be prepared to discuss the project and other assignments. | N/A |
| Attend individual meetings | 12% | Email the instructor to set up convenient meetings to discuss project progress. | N/A |
| Proposal | 10% | N/A | Sep 18 |
| Revised Proposal | 13% | Receive comments from the instructor and class, then revise the proposal. | Oct 23 |
| Report | 25% | Write a final report of 10 double-spaced pages. | Nov 27 |
| Presentation | 10% | Deliver a 2-minute elevator pitch. | Nov 27 |
| Poster for Innovation Showcase | 10% | Create a poster for presentation. | Dec 6 |
