| Task | Task Percentage | Description | Deadline |
| --- | --- | --- | --- |
| Community Needs Assessment Report | 15% | A comprehensive report on identified community needs and priority areas for development. | September 30, 2022 |
| Project Proposal | 20% | Detailed proposal outlining the community development project, including goals, objectives, and implementation strategies. | October 31, 2022 |
| Stakeholder Engagement Summary | 15% | Summary of engagement activities with local organizations and feedback received. | December 15, 2022 |
| Implementation Progress Report | 20% | Report on the progress of project implementation, including challenges encountered and solutions applied. | February 15, 2023 |
| Final Evaluation Report | 20% | Evaluation of the project's impact on the community, including data analysis and recommendations. | April 1, 2023 |
| Final Reflection Paper | 10% | Reflective paper on the overall course experience, including personal development and insights gained. | April 10, 2023 |
| Needs Assessment | N/A | Conduct assessments to identify community needs and prioritize development areas. | N/A |
| Project Planning | N/A | Develop comprehensive plans for community development initiatives. | N/A |
| Stakeholder Collaboration | N/A | Engage and collaborate with local community members and organizations. | N/A |
| Advocacy Strategies | N/A | Formulate and implement advocacy and policy change strategies. | N/A |
| Evaluation & Reporting | N/A | Evaluate community projects' impact and prepare detailed reports. | N/A |
