| Task | Task Percentage | Description | Deadline |
|---|---|---|---|
| Serving as a weekly discussion leader | N/A | N/A | N/A |
| Developing a research strategy | N/A | N/A | N/A |
| Conducting research | N/A | N/A | N/A |
| Writing up reports | N/A | N/A | N/A |
| Creating an end-of-term presentation of findings | N/A | N/A | N/A |
| Reading workshop | N/A | N/A | Jan 7 |
| Assigning discussion leadership | N/A | N/A | Jan 7 |
| Creating term project groups | N/A | N/A | Jan 7 |
| Read Florida, R. (2003). Cities and the creative class. City & Community, 2(1), 3-19. | N/A | N/A | Jan 14 |
| Read Markusen, A. (2006). Urban development and the politics of a creative class: evidence from a study of artists. Environment and planning A, 38(10), 1921-1940. | N/A | N/A | Jan 14 |
| Read Through: Blog Post 1 Assignment and some prior Assignment 1s on culturecreativityandcities.weebly.com | N/A | N/A | Jan 14 |
| Project and Team Assignments | N/A | N/A | Jan 14 |
| Starting to Map | N/A | N/A | Jan 14 |
| Read Hannigan, J. (1996). From fantasy city to creative city. Tourism, creativity and development, 29, 48. (SNEHA) | N/A | N/A | Jan 21 |
| Read Hollands, Robert G. (2008). Will the real smart city please stand up? Intelligent, progressive, or entrepreneurial? City 12(3): 303-320. (BERNARDO) | N/A | N/A | Jan 21 |
| Finishing Mapping | N/A | N/A | Jan 21 |
| Read Patterson, M., & Silver, D. (2015). The place of art: Local area characteristics and arts growth in Canada, 2001–2011. Poetics, 51, 69-87. (TAMMY) | N/A | N/A | Jan 28 |
| Read Patterson, M., & Silver, D. Turning the post-industrial city into the cultural city: The case of Toronto’s waterfront. (JULIA) | N/A | N/A | Jan 28 |
| Read Through: Blog Post 2 Assignment and some prior Assignment 1s on culturecreativityandcities.weebly.com | N/A | N/A | Jan 28 |
| Spatial Blog Post Due | N/A | N/A | Jan 28 |
| Starting Background Research | N/A | N/A | Jan 28 |
| Read Premdas, R. (2004). Diaspora and its discontents: A Caribbean fragment in Toronto in quest of cultural recognition and political empowerment. Ethnic and Racial Studies, 27(4), 544-564. (ZAIYAAN) | N/A | N/A | Feb 4 |
| Read Grundy, J., & Boudreau, J. A. (2008). ‘Living with culture’: creative citizenship practices in Toronto. Citizenship Studies, 12(4), 347-363. (RAAGAVI) | N/A | N/A | Feb 4 |
| Continuing Background Research | N/A | N/A | Feb 4 |
| Read Bain, A. L. (2003). Constructing contemporary artistic identities in Toronto neighbourhoods. The Canadian Geographer/Le Géographe canadien, 47(3), 303-317. (ATHIYSHAN) | N/A | N/A | Feb 11 |
| Read Rawlings, C. M. (2001). ‘Making names’: The cutting edge renewal of African art in New York City, 1985-1996. Poetics, 29(1), 25-54. (CLAYTON) | N/A | N/A | Feb 11 |
| Read Through: Blog Post 3 Assignment and some prior Assignment 3s on culturecreativityandcities.weebly.com | N/A | N/A | Feb 11 |
| Background Research Blog Post Due | N/A | N/A | Feb 11 |
| Starting to Code | N/A | N/A | Feb 11 |
| Midterm Test | N/A | N/A | Feb 25 |
| Continuing to Code | N/A | N/A | Feb 25 |
| Read Macias, Anthony F. (2004). Bringing music to the people: race, urban culture, and municipal politics in postwar Los Angeles. American Quarterly 56.3:693-717 (SHUBHANI) | N/A | N/A | Mar 3 |
| Read Finch, Mark. 2015. ‘Toronto is the best!’: Cultural scenes, independent music, and competing urban visions. Popular Music and Society, 38(3): 299-317. (TIFFANY) | N/A | N/A | Mar 3 |
| Continuing to Code | N/A | N/A | Mar 3 |
| Read Coe, Neil M. 2000. The view from out West: embeddedness, inter-personal relations and the development of an indigenous film industry in Vancouver. Geoforum 31: 391-407. (FRANK) | N/A | N/A | Mar 10 |
| Read Hracs, Brian J., Jill L. Grant, Jeffry Haggett, and Jesse Morton. 2011. A tale of two scenes: Civic capital and retaining musical talent in Toronto and Halifax. The Canadian Geographer 55(3): 365-382 (SIMRAN) | N/A | N/A | Mar 10 |
| Continuing to Code | N/A | N/A | Mar 10 |
| Read Zhang, Cecilia Zhuang. 2015. Construction and reconstruction of ethnicity in retail landscapes: case studies in the Toronto area. Journal of
