| Task | Task Percentage | Description | Deadline |
|---|---|---|---|
| Participate on a project design team | N/A | N/A | N/A |
| Learn how to apply tools and procedures learned in other courses to a complete project | N/A | N/A | N/A |
| Understand how typical civil engineering projects progress from concept to final plans | N/A | N/A | N/A |
| Design Plans: Prepare a set of design plans on 24x36 inch sheets using AutoCAD or equivalent software | N/A | The set should include a cover sheet with project name, location, index, and team member names; a complete site plan with topography; general notes, schedules, and specifications; a layout plan; and necessary details (plans, profiles, sections, and detail drawings). | N/A |
| Final Report: Compile a comprehensive final report | N/A | The report should include a title page, cover letter, table of contents, executive summary, organizational chart, project and site descriptions, scope of work, list of permits, specifications, list of engineering standards, estimated quantities and costs, appendices with team member responsibilities and contributions, comparison of estimated vs. actual time spent, meeting minutes, design calculations, and resumes. | N/A |
| Progress Reports: Provide weekly progress reports to the class instructor | N/A | N/A | N/A |
| Preliminary Plans: Submit preliminary plans | N/A | These should include a full-scale cover sheet and reduced-scale sheets. | March 24, 2014 |
| Preliminary Oral Presentations: Present preliminary work | N/A | These presentations are meant to prepare for final presentations and identify areas for improvement. | April 21, 2014 |
| General Class Meeting | N/A | N/A | April 24, 2014 |
| Submission of Final Plans and Design Reports | N/A | N/A | April 28, 2014, 2:00 p.m. |
| Final Oral Presentations: Present final project | N/A | Each team will have 30 minutes, and all team members will participate. | April 29, 2014, after 1:00 p.m. |
| Project Manager Meetings: Meet with the instructor weekly | N/A | N/A | N/A |
| Instructor Evaluation Meetings: Instructor evaluates teams every one or two weeks | N/A | N/A | N/A |
| Team Meetings: Full team meetings once a week | N/A | N/A | N/A |
| Other Meetings: As needed, decided by the team | N/A | N/A | N/A |
| Grading: Final Project Report and Plans - Team Effort | 25% | N/A | N/A |
| Grading: Final Project Report and Plans - Individual Effort | 10% | N/A | N/A |
| Grading: Oral Presentation - Team Performance | 25% | N/A | N/A |
| Grading: Oral Presentation - Individual Performance | 15% | N/A | N/A |
| Grading: Confidential Evaluations by other Team Members | 25% | N/A | N/A |
