| Task | Task Percentage | Description | Deadline |
|---|---|---|---|
| Investigate and evaluate prominent literature connected to your CP | N/A | N/A | N/A |
| Develop an outline for thinking and practice that illuminates and brings insight to an area of the music education field | N/A | N/A | N/A |
| Develop and create practical resources for music education settings | N/A | N/A | N/A |
| Present a clearly articulated investigative framework, while situating projects within established academic practices and/ or ideas | N/A | N/A | N/A |
| Offer inquiry-based argumentation for educational/curricular change and adaptation where conceptual propositions are tied to in-the-world realities | N/A | N/A | N/A |
| Assignment 1: Capstone Proposal Outline | 10% | Develop a two to three-page detailed outline of your capstone, including an introduction, goals and process, and final product and timeframe. | N/A |
| Assignment 2: First draft or detailed outline of theoretical and practical parts of capstone project | 20% | N/A | N/A |
| Assignment 3: Revised second draft of capstone | 25% | N/A | N/A |
| Assignment 4: Public presentation of overview of capstone including multi-media elements | 20% | Deliver a public presentation of the final project, including multimedia elements. | Last week of classes |
| Assignment 5: Final version of capstone document | 25% | N/A | N/A |
