| Task | Task Percentage | Description | Deadline |
|---|---|---|---|
| Participate on a project design team | N/A | N/A | N/A |
| Learn how to apply tools and procedures learned in other courses to a complete project | N/A | N/A | N/A |
| Understand how typical civil engineering projects progress from concept to final plans | N/A | N/A | N/A |
| Design Plans: Prepare design plans on 24x36 inch sheets using AutoCAD or equivalent software | N/A | Include a cover sheet with project name, location, index, and team member names; a complete site plan with topography; general notes, schedules, and specifications; a layout plan; and necessary details (plans, profiles, sections, and detail drawings) | April 28, 2014, 2:00 p.m. |
| Final Report: Compile a comprehensive final report | N/A | Include title page, cover letter, table of contents, executive summary, organizational chart, project and site descriptions, scope of work, list of required permits, specifications, list of engineering standards, estimated quantities and costs, appendices with team member responsibilities, time spent on the project, meeting minutes, and design calculations | April 28, 2014, 2:00 p.m. |
| Oral Presentations: Prepare and deliver oral presentations | N/A | Present preliminary oral presentations to prepare for finals and identify areas of improvement; final oral presentations to the Professional Advisory Board | April 21, 2014 (preliminary); April 29, 2014, 1:00 p.m. (final) |
| Progress Reports: Submit weekly progress reports to the class instructor | N/A | N/A | Weekly |
| Team Meetings: Conduct regular team meetings | N/A | Project Manager meets with the instructor weekly; instructor evaluates teams every one or two weeks; all-team meetings at least once a week | N/A |
| Grading and Evaluation: Evaluate teammates and calculate final grades | N/A | Team effort and individual effort for final project report and plans, team and individual performance for oral presentations, and confidential evaluations by teammates | N/A |
