| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Test 1 | 20% | Non-cumulative test covering lectures 1-3 and chapters 1-5 | May 16 | N/A |
| Core | Test 2 | 20% | Non-cumulative test covering lectures 4-6 and chapters 6-11 | May 30 | N/A |
| Core | Test 3 | 20% | Non-cumulative test covering lectures 7-9 and chapters 12-17 | June 13 | N/A |
| Core | In-Class Quizzes | 10% | Five quizzes, each with five multiple-choice questions, testing lecture and text content | N/A | N/A |
| Core | Paper | 30% | 5-6 page paper applying a theory or theories to the case of "Ruth" | June 11 | N/A |
| Support | Reading | N/A | Read assigned chapters in advance of lectures and films | N/A | N/A |
| Support | Accessing Course Webpage | N/A | Access the course webpage via the provided URL | N/A | N/A |
| Support | Missed Test Special Consideration | N/A | Students can request special consideration for missed tests due to circumstances beyond their control | N/A | N/A |
| Support | Extension of Time Special Consideration | N/A | Students can request more time for term work due to circumstances beyond their control | N/A | N/A |
| Support | Academic Honesty and Plagiarism | N/A | Students are expected to maintain academic integrity and avoid plagiarism | N/A | N/A |
| Support | Academic Rights | N/A | List of student rights, including syllabus access, assignment submission, and grade inquiries | N/A | N/A |
