| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Term Test | 30% | Two essay questions | 2024-02-05 | N/A |
| Core | Assignment: Review Essay on Patel and Moore's book | 30% | N/A | 2024-02-26 | N/A |
| Core | Assignment: Response paper | 5% | N/A | 2024-03-11 | N/A |
| Core | Assignment: Response paper | 10% | N/A | 2024-03-18 | N/A |
| Core | Term Test | 25% | Two essays and a short answer question | 2024-04-01 | N/A |
| Support | N/A | N/A | Read the following texts: Riley E. Dunlap and Richard J. Brulle (eds.) Climate Change and Society: Sociological Perspectives (Oxford University Press, 2015), Constance Lever-Tracey (ed.) The Routledge Handbook of Climate Change and Society (Routledge, 2010), John Dryzek, Richard Norgaard and David Schlosberg (eds) The Oxford Handbook on Climate Change and Society (Oxford University Press, 2012) | N/A | N/A |
| Support | N/A | N/A | Watch the following documentaries: Naomi Klein, Documentary: This Changes Everything: Capitalism and Climate Change on Youtube, "Inside Extinction Rebellion" on Youtube, "Living in the Time of Dying" on Youtube, Documentary on Vimeo: Hands-On:Women:Climate Change | N/A | N/A |
| Support | N/A | N/A | Read journal articles for each topic, specified on the course outline | N/A | N/A |
| Support | N/A | N/A | Read very brief, no more than two pages long relevant online articles and commentaries on contemporary issues | N/A | N/A |
| Support | N/A | N/A | Follow the grading policies/rubric | N/A | N/A |
| Support | N/A | N/A | Follow the classroom etiquette | N/A | N/A |
| Support | N/A | N/A | Adhere to the academic integrity guidelines | N/A | N/A |
| Support | N/A | N/A | Utilize the student services and resources | N/A | N/A |
