| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Exams | N/A | Three non-cumulative exams, each comprising 1/3 of the final grade. | N/A | N/A |
| Core | Paper | N/A | Optional written assignment (8-10 pages) to conduct a psychobiography, graded for content and style. | N/A | N/A |
| Support | Reading | N/A | Keep up with the textbook readings according to the schedule. | N/A | N/A |
| Support | Canvas Usage | N/A | Regularly check the course website on Canvas for important updates and announcements. | N/A | N/A |
| Support | TurnItIn Usage | N/A | Use TurnItIn to scan papers for plagiarism and submit them by the deadline. | N/A | N/A |
| Support | Class Participation | N/A | Encourage and appreciate student participation in class discussions. | N/A | N/A |
| Support | Communication with Instructor and TA | N/A | Communicate with the instructor and TA for complex questions and course-related matters. | N/A | N/A |
| Support | Attendance | N/A | Students are responsible for all material covered during class, even if they miss a class. | N/A | N/A |
| Support | Class Etiquette | N/A | Maintain a respectful and inclusive classroom environment, and follow guidelines for laptop and phone usage. | N/A | N/A |
| Support | Extra Credit | N/A | Earn extra credit through research participation or a library writing project. | N/A | N/A |
| Support | Academic Accommodation | N/A | Students with disabilities should register with Access and Diversity for accommodations. | N/A | N/A |
| Support | Academic Concession | N/A | Notify the instructor if encountering medical, emotional, or personal problems affecting attendance or performance. | N/A | N/A |
| Support | Cheating and Academic Offences | N/A | Understand the consequences of cheating, plagiarism, and other academic misconduct. | N/A | N/A |
| Support | In-Class Participation | N/A | Encourage and appreciate student participation in class discussions. | N/A | N/A |
| Support | Communication Guidelines | N/A | Communicate with the instructor and TA for complex questions and course-related matters. | N/A | N/A |
| Support | Requesting Letters of Reference | N/A | Guidelines for requesting letters of reference or recommendation from the instructor. | N/A | N/A |
| Support | Learning Resources | N/A | Utilize various learning resources, including study support, writing support, and time management tools. | N/A | N/A |
| Support | Health and Wellness Resources | N/A | Access various health and wellness resources on and off campus. | N/A | N/A |
