| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Discuss "Living in Revolutionary Time: Coming to Terms with the Violence of Latin America’s Long Cold War" by Grandin | N/A | N/A | January 12 | N/A |
| Core | Discuss "Che Guevara: A Revolutionary Life" by Anderson, pp. xi-204 | N/A | N/A | January 19 | N/A |
| Core | Discuss "Che Guevara: A Revolutionary Life" by Anderson, pp. 205-404 | N/A | N/A | January 26 | N/A |
| Core | Analyze a primary source in class | N/A | N/A | January 26 | N/A |
| Core | Discuss "Che Guevara: A Revolutionary Life" by Anderson, pp. 405-732 | N/A | N/A | February 2 | N/A |
| Core | Discuss "Cuba" by Ferrer, pp. 1-156 | N/A | N/A | February 9 | N/A |
| Core | Discuss "Cuba" by Ferrer, pp. 157-314 | N/A | N/A | February 16 | N/A |
| Core | Submit and Discuss: Assignment #2—Historiographic essay on the Cuban Revolution (25%) | 25% | Write a historiographic essay on the Cuban Revolution, following specific guidelines. | February 16 | N/A |
| Core | Discuss "Cuba" by Ferrer, pp. 315-470 | N/A | N/A | March 1 | N/A |
| Core | Discuss "Weavers of Revolution" by Winn | N/A | N/A | March 8 | N/A |
| Core | Discuss "The Condor Years: How Pinochet and His Allies Brought Terrorism to Three Continents" by Dingers, pp. xi-134 | N/A | N/A | March 15 | N/A |
| Core | Analyze a primary source in class | N/A | N/A | March 15 | N/A |
| Core | Submit and Discuss: Assignment #3—Historiographic essay on the Pinochet Dictatorship (25%) | 25% | Write a historiographic essay on the Pinochet Dictatorship, following specific guidelines. | March 22 | N/A |
| Core | Discuss "The Condor Years: How Pinochet and His Allies Brought Terrorism to Three Continents" by Dingers, pp. 135-264 | N/A | N/A | March 22 | N/A |
| Core | Discuss "What You Have Heard Is True: A Memoir Of Witness And Resistance" by Forche, Carolyn | N/A | N/A | April 5 | N/A |
| Core | Assignment #4—Write about narrative techniques of Carolyn Forché & Roberto Lovato (25%) | 25% | Write an essay analyzing the narrative techniques of Carolyn Forché and Roberto Lovato, following specific guidelines. | April 5 | N/A |
| Core | Discuss "Unforgetting: A Memoir Of Family, Migration, Gangs, and Revolution in the Americas" by Lovato | N/A | N/A | April 8 | N/A |
| Support | Participation (20%) | 20% | Attend class, prepare in advance, read assigned texts, and engage in class discussions. | N/A | N/A |
| Support | Bring a printed copy of each day's reading to class | N/A | N/A | N/A | N/A |
| Support | Read assigned texts before class | N/A | N/A | N/A | N/A |
| Support | Write down two or three things to say about the assigned readings | N/A | N/A | N/A | N/A |
| Support | Express ideas clearly and reference assigned texts | N/A | N/A | N/A | N/A |
| Support | Engage with classmates and share ideas | N/A | N/A | N/A | N/A |
| Support | Use the University of Toronto Libraries to find historiographic essays | N/A | N/A | N/A | N/A |
| Support | Evaluate the quality of historiographic essays | N/A | N/A | N/A | N/A |
| Support | State the main argument of the historiographic essays | N/A | N/A | N/A | N/A |
| Support | Distinguish between different schools of interpretation/trends in the essays | N/A | N/A | N/A | N/A |
| Support | Properly cite the historiographic essays using the Chicago Manual of Style | N/A | N/A | N/A | N/A |
| Support | Write a one-page single-spaced paper with standard margins | N/A | N/A | N/A | N/A |
| Support | Write a three-page double-spaced paper with standard margins and footnotes | N/A | N/A | N/A | N/A |
| Support | Understand and follow academic integrity guidelines | N/A | N/A | N/A | N/A |
| Support | Be aware of the University's policies on tests and assignments | N/A | N/A | N/A | N/A |
| Support | Understand the late penalty policy and special consideration requests | N/A | N/A | N/A | N/A |
| Support | Know the ACORN absence declaration tool and its limitations | N/A | N/A | N/A | N/A |
| Support | Understand the "stuff happens" clause and how to invoke it | N/A | N/A | N/A | N/A |
| Support | Be aware of the University's privacy policies and medical certificate collection | N/A | N/A | N/A | N/A |
