| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Midterm 1 | 20% | Present progress of work to the class and submit a report to the partner. | N/A | N/A |
| Core | Midterm 2 | 20% | Present progress of work and submit a report to the partner. | N/A | N/A |
| Core | Poster Session | 10% | Create a poster showcasing the project. | May 8th | N/A |
| Core | Final Presentation | 30% | Deliver the final project presentation. | May 10-11 | N/A |
| Core | Final Report | 10% | Submit a comprehensive report on the project. | N/A | N/A |
| Core | Peer Assessment | 10% | Evaluate peers and provide constructive feedback. | N/A | N/A |
| Support | Online Discussion | N/A | Engage in online discussions about projects, challenges, and experiences. | N/A | N/A |
| Support | Town Hall Meetings | N/A | Attend weekly town hall meetings for class announcements and tutorials. | Tuesdays 4:00pm - 6:00pm | N/A |
| Support | Weekly Meetings with Teaching Fellow | N/A | Meet with the assigned teaching fellow for guidance and collaboration. | N/A | N/A |
| Support | Bi-Weekly Meetings with Professor | N/A | Share progress updates with the professor and teaching fellows. | N/A | N/A |
| Support | Meetings with Partners | N/A | Write and submit reports to project partners. | N/A | N/A |
| Support | Questionnaires | N/A | Complete online questionnaires to assess course progress. | N/A | N/A |
