| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal with objectives, compound details, and impact. Assign roles and set a timeline. | Week 3 | N/A |
| Core | Literature Review and Method Development | 15 points | Conduct a literature review, develop/improve an analytical method, and select instrumentation. | Weeks 4-6 | N/A |
| Core | Method Validation | 18 points | Validate the method, compare with standard methods, and make adjustments. | Weeks 7-10 | N/A |
| Core | Application and Data Analysis | 10 points | Apply the method to real-world samples, analyze data, and assess reliability. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the method development, validation process, challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a presentation for the Innovation Showcase. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | Weeks 13-15 | N/A |
| Support | Attendance and Participation | N/A | Attend all class meetings and individual sessions, and actively participate. | N/A | N/A |
| Support | Individual Meetings | N/A | Attend individual meetings to discuss ideas, readings, and receive feedback. | Sep 4, Oct 2, Nov 13 | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities should contact the Disability Resource Center and inform the instructor. | N/A | N/A |
