| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal detailing the biotechnology product/process, research objectives, anticipated outcomes, timeline, and team roles. | Week 3 | N/A |
| Core | Literature Review and Market Analysis | 15 points | Conduct a literature review and market analysis to understand the technology and potential applications/competitors. | Weeks 4-6 | N/A |
| Core | Product Development and Prototyping | 18 points | Develop a prototype, optimize design and functionality based on testing and feedback. | Weeks 7-10 | N/A |
| Core | Testing and Validation | 10 points | Conduct tests and validation studies, analyze results, and refine the product. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the development process, challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a presentation for the Innovation Showcase. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | Weeks 13-15 | N/A |
| Support | Attendance and Participation | N/A | Attend all class meetings and individual sessions, inform the instructor of any absences in advance. | Throughout the semester | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoid plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities should contact the Disability Resource Center and notify the instructor for accommodations. | N/A | N/A |
