| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Design Concept Report (DCR) Team Submittals | N/A | N/A | N/A | N/A |
| Core | Preliminary Plan Submittal | 10% | N/A | N/A | N/A |
| Core | Preliminary Project Cost Estimate | 2% | N/A | N/A | N/A |
| Core | Pavement Design Report | 5% | N/A | N/A | N/A |
| Core | Final Drainage Report | 5% | N/A | N/A | N/A |
| Core | Final Structures Report | 5% | N/A | N/A | N/A |
| Core | Traffic Report | 4% | N/A | N/A | N/A |
| Core | Environmental & Sustainability (incl. Landscaping) | 4% | N/A | N/A | N/A |
| Core | Final Plans | 25% | N/A | N/A | N/A |
| Core | Engineers Construction Cost Estimate | 5% | N/A | N/A | N/A |
| Core | Project Presentation | 10% | N/A | N/A | N/A |
| Core | Peer Reviews | 10% | N/A | N/A | N/A |
| Core | Homework, Quizzes, Special Assignments, Extra Credit | 10% | N/A | N/A | N/A |
| Core | Attendance | 5% | N/A | N/A | N/A |
| Support | Reading materials | N/A | Other materials will be supplied through the course D2L website. | N/A | N/A |
| Support | Communication guidelines | N/A | Students are expected to attend all classes, no make-up quizzes will be provided with the exception of students with pre-approved absences. Students with pre-approved absences are expected to schedule a time with the instructor, within one week of the missed quiz, outside of normal class hours, to take the quiz. | N/A | N/A |
| Support | Attendance policy | N/A | Students are expected to attend all class and project team meetings. Attendance is extremely critical in team environment such as this course. If a late arrival or an early departure is anticipated, check with the instructor to be sure that it is done without disturbing the class. The instructor(s), at their discretion, may decide to consider late arrivals or early departures as full absences. A two week absence may result in administrative withdrawal. If a student misses a class, he/she is responsible for all announcements and subjects covered in that class. If in doubt, contact the instructor. | N/A | N/A |
| Support | Project team guidelines | N/A | Project Teams as created during the previous CE408A fall semester will remain intact. Team Leaders must accept the extra responsibilities and required time commitment in accepting these leadership positions. These efforts will be recognized in their earning up to an extra 5% credit towards their final class grade. The actual percentage amount will be based on both peer and instructor evaluations. | N/A | N/A |
| Support | Team and individual schedules | N/A | Team schedules will be submitted on a regular basis as directed by the instructor. The purpose of these schedules is to both plan the project works efforts and document time spent as the semester progresses. These submissions are the responsibility of the Team Leaders. Similarly each team member will schedule and track their individual team work assignments also to be submitted on a regular basis as directed by the instructor. | N/A | N/A |
