| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Team Formation and Project Proposal | 10% | Teams form and submit a proposal outlining the project scope and objectives. | September 15, 2020 | N/A |
| Core | Process Flow Diagram and Initial Design | 15% | Submission of a process flow diagram and initial design considerations. | October 20, 2020 | N/A |
| Core | Preliminary Design Review | 15% | Presentation of initial design, including process flow and safety analysis. | November 25, 2020 | N/A |
| Core | Midterm Progress Report | 10% | Report on progress, challenges, and next steps. | December 10, 2020 | N/A |
| Core | Detailed Design Document | 15% | Comprehensive design document with detailed process flow and safety analysis. | February 15, 2021 | N/A |
| Core | Prototype Development and Testing Report | 20% | Report on prototype development and testing results. | March 20, 2021 | N/A |
| Core | Final Presentation and Demonstration | 15% | Final presentation and demonstration of the chemical process design. | April 10, 2021 | N/A |
| Support | N/A | N/A | Regular attendance is required. | N/A | N/A |
| Support | N/A | N/A | Read the textbook "Introduction to Chemical Engineering: Tools for Today and Tomorrow" by Kenneth A. Solen and John N. Harb. | N/A | N/A |
| Support | N/A | N/A | Utilize process simulation software (e.g., Aspen HYSYS) and prototyping materials. | N/A | N/A |
| Support | N/A | N/A | Access additional resources such as the university library, chemical engineering lab, online tutorials, and workshops. | N/A | N/A |
