| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Team Formation and Project Proposal | 10% | Teams form and submit a proposal outlining the project scope and objectives. | September 15, 2020 | N/A |
| Core | Preliminary Design Report | 15% | Submission of initial design, including sketches and material selection. | October 20, 2020 | N/A |
| Core | Structural Analysis and Load Calculations | 20% | Detailed analysis of structural components and load calculations. | November 25, 2020 | N/A |
| Core | Midterm Presentation | 10% | Presentation of progress, including design and analysis results. | December 10, 2020 | N/A |
| Core | Detailed Design Document | 15% | Comprehensive design document with detailed drawings and specifications. | February 15, 2021 | N/A |
| Core | Prototype Development and Testing Report | 20% | Report on prototype development and testing results. | March 20, 2021 | N/A |
| Core | Final Presentation and Demonstration | 10% | Final presentation and demonstration of the structural project. | April 10, 2021 | N/A |
| Support | N/A | N/A | Regular attendance is required. | N/A | N/A |
| Support | N/A | N/A | Read and adhere to the university's academic integrity policy. | N/A | N/A |
| Support | N/A | N/A | Use the required textbook and access structural analysis software. | N/A | N/A |
| Support | N/A | N/A | Utilize prototyping materials as specified for the project. | N/A | N/A |
| Support | N/A | N/A | Access additional resources such as the university library, structural engineering lab, and online tutorials. | N/A | N/A |
