| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Formulate and write a detailed proposal | N/A | Describe the work to be done on the project and defend it orally. | August 25 | N/A |
| Core | Specify the problem to be solved | N/A | Provide a complete specification of the problem. | August 25 | N/A |
| Core | Conduct a literature survey | N/A | Perform a thorough literature survey and include a bibliography. | August 25 | N/A |
| Core | Analyze and break down the project into tasks | N/A | Break down the project, describe task interactions, and provide a technical approach for each task. | August 25 | N/A |
| Core | Describe work in progress | N/A | Explain the current progress and ongoing efforts for each task. | August 25 | N/A |
| Core | Identify required tools and equipment | N/A | List the tools and equipment needed, and place orders for required parts. | August 25 | N/A |
| Core | Create a project organization plan | N/A | Outline individual responsibilities, team effort, status reports, and a realistic schedule with milestones. | August 25 | N/A |
| Core | Weekly Progress Report | 10 Points | N/A | N/A | N/A |
| Core | Individual Task and Presentation | 15 Points | N/A | N/A | N/A |
| Core | Midterm Report "White Paper" | 15 Points | N/A | July 29 | White Paper |
| Core | Final Written Proposal | 20 Points | N/A | August 18, 19 | Final Proposal |
| Core | Final Oral Presentation | 20 Points | N/A | August 18, 19 | Final Proposal |
| Support | Project Selection | N/A | Students form teams and select a project. | N/A | N/A |
| Support | Weekly Meetings | N/A | Students are expected to communicate with their faculty advisor regularly. | N/A | N/A |
| Support | Feasibility Study | N/A | Students should conduct a feasibility study for their project. | N/A | N/A |
| Support | Prepare Weekly Reports | N/A | Students must prepare weekly reports on their project progress. | N/A | N/A |
| Support | Attend Meetings with Capstone Advisor | N/A | Students should meet with their capstone advisor regularly. | N/A | N/A |
| Support | Specify Materials and Cost Analysis | N/A | Students need to specify materials and provide a cost analysis for their project. | N/A | N/A |
| Support | Prepare for Capstone 2 | N/A | Students should prepare to take the Capstone 2 course in the following semester. | N/A | N/A |
| Support | Reading and Research | N/A | Students should engage with provided documents, past proposals, and relevant information for design projects. | N/A | N/A |
| Support | Meeting Participation and Teamwork | 20 Points | N/A | N/A | N/A |
