| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal detailing the visual style, lighting techniques, and camera movements for the project. Include a timeline and assign roles. | Week 3 | N/A |
| Core | Visual Research and Shot Planning | 15 points | Conduct visual research and develop a shot plan, including camera setups, lighting diagrams, and shot lists. | Weeks 4-6 | N/A |
| Core | Principal Photography | 18 points | Capture all necessary shots according to the shot list, implementing the planned visual style and lighting techniques. | Weeks 7-10 | N/A |
| Core | Post-Production and Color Grading | 10 points | Edit the footage, enhance the visual style through color grading and visual effects, ensuring alignment with the proposed style. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the entire cinematography process, including challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a screening or presentation for the Innovation Showcase, highlighting the key aspects of the cinematographic style. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | N/A | N/A |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions. Inform the instructor in advance if unable to attend and arrange to complete missed work. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy. Avoid plagiarism and other forms of academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center and notify the instructor for accommodations. | N/A | N/A |
