| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal outlining the cosmological phenomena, research objectives, and anticipated outcomes. Include a timeline and assign roles. | Week 3 | N/A |
| Core | Data Collection and Analysis | 15 points | Collect and analyze data from various sources to study the distribution of matter and energy in the universe. | Weeks 4-6 | N/A |
| Core | Modeling and Simulation | 18 points | Develop models and simulations to understand cosmic structure formation and evolution, and compare with observational data. | Weeks 7-10 | N/A |
| Core | Hypothesis Testing and Interpretation | 10 points | Test hypotheses about the universe's origin and evolution, interpreting results within current theories. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the research process, challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a presentation for the Innovation Showcase. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | Weeks 13-15 | N/A |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions. Inform the instructor in advance of any absences and make up missed work. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and other forms of academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center and notify the instructor. | N/A | N/A |
