| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Team Formation and Project Proposal | 10% | Teams form and submit a proposal outlining the project scope and objectives. | September 15, 2020 | N/A |
| Core | Digital Logic Design Assignment | 15% | Design and implementation of basic digital logic circuits. | October 20, 2020 | N/A |
| Core | Microcontroller Programming Assignment | 15% | Programming a microcontroller to perform specific tasks. | November 25, 2020 | N/A |
| Core | Midterm Progress Report | 10% | Report on progress, challenges, and next steps. | December 10, 2020 | N/A |
| Core | System Integration and Testing Report | 15% | Report on the integration of digital components and initial testing results. | February 15, 2021 | N/A |
| Core | Prototype Development and Testing Report | 20% | Report on prototype development and testing results. | March 20, 2021 | N/A |
| Core | Final Presentation and Demonstration | 15% | Final presentation and demonstration of the digital system project. | April 10, 2021 | N/A |
| Support | N/A | N/A | Regular attendance is required. | N/A | N/A |
| Support | N/A | N/A | Access to microcontroller development kits (e.g., Arduino, Raspberry Pi) and prototyping materials. | N/A | N/A |
| Support | N/A | N/A | Use of additional resources: University Library, Digital Systems Lab, online tutorials, and workshops. | N/A | N/A |
