| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Team Formation and Project Proposal | 10% | N/A | September 15, 2023 | N/A |
| Core | Preliminary Design Review | 15% | N/A | October 10, 2023 | N/A |
| Core | Prototype Development and Testing | 20% | N/A | November 7, 2023 | N/A |
| Core | Midterm Presentation | 10% | N/A | November 21, 2023 | N/A |
| Core | Final Design Review | 15% | N/A | December 5, 2023 | N/A |
| Core | Final Prototype and Testing Report | 20% | N/A | December 12, 2023 | N/A |
| Core | Final Presentation and Demonstration | 10% | N/A | December 12, 2023 | N/A |
| Support | Attend course meetings | N/A | Participate in class work and discussions | N/A | N/A |
| Support | Regularly log into the course website | N/A | Download course material, submit coursework, and follow up on announcements | N/A | N/A |
| Support | Perform required course assessments | N/A | Support the anticipated learning objectives, such as progress reports and design demonstrations | N/A | N/A |
| Support | Participate in class discussions | N/A | N/A | N/A | N/A |
| Support | Follow the Attendance Policy | N/A | Students are allowed 3 lateness before it counts as an absence | N/A | N/A |
| Support | Maintain academic integrity | N/A | Students are expected to maintain high standards of integrity and honesty in their work | N/A | N/A |
| Support | Contact the instructor for questions or difficulties | N/A | N/A | N/A | N/A |
| Support | Contact Brightspace Technical Support for technical issues | N/A | N/A | N/A | N/A |
