| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Team Formation and Project Proposal | 10% | Teams form and submit a proposal outlining the project scope and objectives. | September 15, 2020 | N/A |
| Core | Environmental Impact Assessment Report | 15% | Detailed assessment of the environmental impacts of the proposed project. | October 20, 2020 | N/A |
| Core | Preliminary Design Review | 15% | Presentation of initial design, including sustainability and regulatory considerations. | November 25, 2020 | N/A |
| Core | Midterm Progress Report | 10% | Report on progress, challenges, and next steps. | December 10, 2020 | N/A |
| Core | Detailed Design Document | 15% | Comprehensive design document with detailed drawings and specifications. | February 15, 2021 | N/A |
| Core | Prototype Development and Testing Report | 20% | Report on prototype development and testing results. | March 20, 2021 | N/A |
| Core | Final Presentation and Demonstration | 15% | Final presentation and demonstration of the environmental engineering project. | April 10, 2021 | N/A |
| Support | N/A | N/A | Regular attendance is required. | N/A | N/A |
| Support | N/A | N/A | Access to environmental modeling software (e.g., EPANET, SWMM) | N/A | N/A |
| Support | N/A | N/A | Prototyping materials (to be specified based on project requirements) | N/A | N/A |
| Support | N/A | N/A | Use of additional resources: University Library, Environmental Engineering Lab, Online tutorials, and workshops. | N/A | N/A |
