| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal detailing objectives, exoplanets/planetary systems studied, anticipated outcomes, timeline, and team member roles. | Week 3 | N/A |
| Core | Data Collection and Analysis | 15 points | Collect and analyze data from telescopes to detect exoplanets. | Weeks 4-6 | N/A |
| Core | Characterization and Modeling | 18 points | Model and characterize exoplanet atmospheres, compositions, and habitability, comparing with observational data. | Weeks 7-10 | N/A |
| Core | Interpretation and Hypothesis Testing | 10 points | Interpret data analysis results and test hypotheses about exoplanet formation and evolution. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the research process, challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a presentation for the Innovation Showcase. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | Weeks 13-15 | N/A |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions. Inform the instructor in advance of any absences. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center and notify the instructor. | N/A | N/A |
