| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal detailing the fashion retail business, target market, and merchandising objectives, including a timeline and assigned roles. | Week 3 | N/A |
| Core | Market Research and Product Selection | 15 points | Conduct market research to identify consumer preferences and trends, and select products for the retail business. | Weeks 4-6 | N/A |
| Core | Visual Merchandising and Store Layout | 18 points | Develop a visual merchandising strategy, including store layout, window displays, and in-store promotions. | Weeks 7-10 | N/A |
| Core | Inventory Management and Pricing Strategy | 10 points | Develop an inventory management system and pricing strategy, analyze inventory turnover and adjust as needed. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the entire merchandising strategy process, including challenges and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a presentation for the Innovation Showcase. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | Weeks 13-15 | N/A |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions. Inform the instructor in advance if unable to attend. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy. Avoid plagiarism and other forms of academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center and notify the instructor. | N/A | N/A |
