| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal detailing the editing style, narrative goals, and target audience for the film project. Include a timeline and assign roles. | Week 3 | N/A |
| Core | Footage Review and Rough Cut | 15 points | Review footage, select takes, and assemble a rough cut with a focus on narrative structure and pacing. | Weeks 4-6 | N/A |
| Core | Fine Cut and Sound Design | 18 points | Refine the rough cut, improve continuity, pacing, and transitions. Develop sound design elements. | Weeks 7-10 | N/A |
| Core | Color Grading and Final Cut | 10 points | Apply color grading and finalize the edit, ensuring a polished and cohesive final product. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the editing process, challenges, and outcomes in a comprehensive report. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a presentation for the Innovation Showcase, highlighting the edited film's key aspects. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | N/A | N/A |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions. Inform the instructor in advance of any absences and make up for missed work. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy. Avoid plagiarism and other forms of academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center for accommodations and inform the instructor. | N/A | N/A |
