| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points (10%) | Submit a proposal outlining the global health issue, proposed intervention, and timeline. Assign group roles. | Week 3 | N/A |
| Core | Needs Assessment and Planning | 15 points (15%) | Conduct a needs assessment and develop a detailed intervention plan with implementation and evaluation strategies. | Weeks 4-6 | N/A |
| Core | Implementation | 18 points (18%) | Implement the intervention in a controlled setting and collect preliminary data. | Weeks 7-10 | N/A |
| Core | Evaluation and Feedback | 10 points (10%) | Evaluate the intervention outcomes, identifying successes, challenges, and improvements. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points (10%) | Document the entire project process, design decisions, challenges, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points (5%) | Prepare and deliver a presentation on the project's impact. | Weeks 13-15 | N/A |
| Core | Poster | 10 points (10%) | Create a poster for the Innovation Showcase, effectively communicating the project's global health impact. | Weeks 13-15 | Innovation Showcase |
| Support | Class Attendance | N/A | Attend all scheduled class meetings. | N/A | N/A |
| Support | Individual Sessions | N/A | Attend individual meetings and complete any missed work if absent. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities should contact the ASU Disability Resource Center for accommodations. | N/A | N/A |
