| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Team written assignments | N/A | N/A | N/A | N/A |
| Core | Initial individual research report | N/A | N/A | N/A | N/A |
| Core | Oral presentation | N/A | N/A | N/A | N/A |
| Core | Individual written assignments | N/A | N/A | N/A | N/A |
| Core | Sponsor Scorecards | N/A | N/A | N/A | N/A |
| Support | Reading various articles and short papers | N/A | N/A | N/A | N/A |
| Support | Using Canvas for assignments and class schedule | N/A | N/A | N/A | N/A |
| Support | Putting in at least 6 hours of work each week | N/A | N/A | N/A | N/A |
| Support | Participating in team meetings and discussions | N/A | N/A | N/A | N/A |
| Core | Interim executive overview presentations | N/A | N/A | N/A | N/A |
| Core | Final project presentation | N/A | N/A | N/A | N/A |
| Core | Individual final essay | N/A | N/A | N/A | N/A |
| Core | Interim and final peer reviews | N/A | N/A | N/A | N/A |
