| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Team Formation and Project Proposal | 10% | Teams form and submit a proposal outlining the project scope and objectives. | September 15, 2020 | N/A |
| Core | Thermodynamic Analysis Report | 15% | Detailed analysis of thermodynamic cycles and processes. | October 20, 2020 | N/A |
| Core | Heat Transfer Analysis Report | 15% | Analysis of heat transfer mechanisms and their impact on system performance. | November 25, 2020 | N/A |
| Core | Midterm Progress Report | 10% | Report on project progress, challenges, and next steps. | December 10, 2020 | N/A |
| Core | Detailed Design Document | 15% | Comprehensive design document with detailed drawings and specifications. | February 15, 2021 | N/A |
| Core | Prototype Development and Testing Report | 20% | Report on prototype development and testing results. | March 20, 2021 | N/A |
| Core | Final Presentation and Demonstration | 15% | Final presentation and demonstration of the thermal system project. | April 10, 2021 | N/A |
| Support | N/A | N/A | Regular attendance is required. | N/A | N/A |
| Support | N/A | N/A | Read and adhere to the university's academic integrity policy. | N/A | N/A |
| Support | N/A | N/A | Use the specified textbook and access thermal system simulation software. | N/A | N/A |
| Support | N/A | N/A | Utilize prototyping materials based on project requirements. | N/A | N/A |
| Support | N/A | N/A | Access additional resources such as the university library, thermodynamics lab, and online tutorials. | N/A | N/A |
