| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal with neural circuit details, research objectives, anticipated outcomes, timeline, and assigned roles. | Week 3 | N/A |
| Core | Literature Review and Hypothesis Development | 15 points | Conduct a literature review and develop hypotheses based on gaps in the literature. | Weeks 4-6 | N/A |
| Core | Experimental Design and Data Collection | 18 points | Design experiments, collect data using various techniques. | Weeks 7-10 | N/A |
| Core | Data Analysis and Interpretation | 10 points | Analyze data using statistical methods and interpret results in the context of neural function. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the research process, challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare a presentation for the Innovation Showcase. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase. | Weeks 13-15 | N/A |
| Support | Class Attendance | N/A | Attend all scheduled class meetings. | N/A | N/A |
| Support | Individual Sessions | N/A | Attend individual sessions and complete any missed work if absent. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities should contact the Disability Resource Center and inform the instructor. | N/A | N/A |
