| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal Outline | 10% | Initial proposal outlining the mental health program concept and objectives. | September 15, 2022 | N/A |
| Core | Needs Assessment Report | 15% | Report detailing community needs and program goals based on research and analysis. | October 15, 2022 | N/A |
| Core | Program Design Document | 20% | Comprehensive document outlining the program structure, activities, and expected outcomes. | November 15, 2022 | N/A |
| Core | Stakeholder Feedback Summary | 15% | Summary of feedback collected from community stakeholders and adjustments made to the program. | December 15, 2022 | N/A |
| Core | Implementation Plan | 20% | Detailed plan for implementing the mental health program, including timelines and resources. | January 31, 2023 | N/A |
| Core | Mid-Implementation Report | 10% | Report on the initial implementation phase, including successes and challenges faced. | February 28, 2023 | N/A |
| Core | Monitoring Report | 10% | Report on the ongoing monitoring of the program, including adjustments and improvements. | March 15, 2023 | N/A |
| Core | Final Evaluation Report | 15% | Evaluation of the program's impact and effectiveness, including data analysis and recommendations. | April 1, 2023 | N/A |
| Core | Final Reflection Essay | 15% | Reflective essay on the project experience, including personal insights and learning outcomes. | April 15, 2023 | N/A |
