| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal for the particle physics project, including the question, experiment/simulation details, timeline, and team roles. | Week 3 | N/A |
| Core | Experiment Design and Simulation | 15 points | Design the particle physics experiment or simulation and develop simulations to predict outcomes. | Weeks 4-6 | N/A |
| Core | Experiment Implementation and Data Collection | 18 points | Conduct the experiment, collect data, and analyze patterns and hypotheses. | Weeks 7-10 | N/A |
| Core | Data Analysis and Interpretation | 10 points | Interpret data, compare with theoretical predictions, and refine the experiment/simulation. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the research process, design decisions, challenges, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare and deliver a presentation on the project. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase, summarizing the project. | Weeks 13-15 | Innovation Showcase |
| Support | Attendance and Participation | N/A | Attend all class meetings and individual sessions, and actively participate in discussions. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities should contact the ASU Disability Resource Center for accommodations and inform the instructor. | N/A | N/A |
