| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points (10%) | Create a detailed proposal for the pharmaceutical intervention or policy, including research objectives, anticipated outcomes, timeline, and team member roles. | Week 3 | N/A |
| Core | Literature Review and Data Collection | 15 points (15%) | Conduct a literature review, identify gaps in existing economic evaluations, and collect data on costs, health outcomes, and patient preferences. | Weeks 4-6 | N/A |
| Core | Economic Modeling and Analysis | 18 points (18%) | Develop economic models to assess cost-effectiveness and budget impact, analyze data, identify trends, and provide recommendations. | Weeks 7-10 | N/A |
| Core | Scenario Analysis and Optimization | 10 points (10%) | Perform scenario analyses to test the economic models and optimize the intervention or policy based on the results. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points (10%) | Document the entire economic evaluation process, challenges, solutions, and outcomes in a comprehensive report. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points (5%) | Prepare and deliver a presentation highlighting the project's key aspects. | Weeks 13-15 | N/A |
| Core | Poster | 10 points (10%) | Create a poster for the Innovation Showcase that summarizes the project. | Weeks 13-15 | Innovation Showcase |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions, and actively participate in discussions. | N/A | N/A |
| Support | Individual Meetings | N/A | Attend individual meetings to discuss ideas, readings, proposal feedback, and data analysis. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy and avoid academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center for accommodations. | N/A | N/A |
