| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Create a proposal detailing the drug, the pharmacovigilance plan, and the anticipated outcomes. Include a timeline and assign roles. | Week 3 | N/A |
| Core | Literature Review and Risk Assessment | 15 points | Conduct a literature review, identify risks and adverse effects, and develop a risk management plan. | Weeks 4-6 | N/A |
| Core | Data Collection and Monitoring | 18 points | Design a pharmacovigilance system, collect and analyze data from clinical trials and post-marketing. | Weeks 7-10 | N/A |
| Core | Signal Detection and Risk Mitigation | 10 points | Identify safety signals, implement mitigation strategies, and update the plan accordingly. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the entire pharmacovigilance process, challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare and deliver a presentation on the project. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster for the Innovation Showcase, highlighting key project aspects. | Weeks 13-15 | Innovation Showcase |
| Support | Attendance and Participation | N/A | Attend all class and individual meetings, actively participate, and inform the instructor in case of absence. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities should contact the ASU Disability Resource Center for accommodations and inform the instructor. | N/A | N/A |
