| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points (10%) | Create a proposal detailing the practice model, patient population, and outcomes. Assign roles and timeline. | Week 3 | N/A |
| Core | Literature Review and Practice Design | 15 points (15%) | Conduct a literature review, identify best practices, and design the practice model with protocols, workflow, and documentation. | Weeks 4-6 | N/A |
| Core | Implementation Strategy and Simulation | 18 points (18%) | Develop an implementation strategy, simulate the model, and create training/communication plans. | Weeks 7-10 | N/A |
| Core | Outcome Evaluation and Optimization | 10 points (10%) | Evaluate and optimize the simulated model based on feedback and data. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points (10%) | Document the development process, challenges, solutions, and outcomes in a report. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points (5%) | Prepare and deliver a presentation on the project. | Weeks 13-15 | N/A |
| Core | Poster | 10 points (10%) | Create a poster for the Innovation Showcase, summarizing the project. | Weeks 13-15 | Innovation Showcase |
| Support | Class Attendance | N/A | Attend all scheduled class meetings. | N/A | N/A |
| Support | Individual Sessions | N/A | Attend individual sessions and inform the instructor in advance of any absences. | N/A | N/A |
| Support | Group Collaboration | N/A | Collaborate with group members, meet regularly, and resolve issues. | N/A | N/A |
| Support | Instructor Check-Ins | N/A | Participate in scheduled check-ins with the instructor for guidance and feedback. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities should contact the Disability Resource Center and notify the instructor for accommodations. | N/A | N/A |
