| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points | Submit a proposal outlining the political issue, research question, advocacy goal, and timeline. Assign group roles. | Week 3 | N/A |
| Core | Research and Data Collection | 15 points | Conduct research, including literature reviews, surveys, interviews, and case studies, on the chosen political issue. | Weeks 4-6 | N/A |
| Core | Analysis and Strategy Development | 18 points | Analyze data to identify trends and insights, then develop a strategy to address the political issue. | Weeks 7-10 | N/A |
| Core | Implementation and Outreach | 10 points | Put the developed strategy into action, including outreach to stakeholders, policymakers, and the public. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points | Document the research process, analysis, and outcomes in a comprehensive report. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points | Prepare and deliver a presentation on the project's findings and recommendations. | Weeks 13-15 | N/A |
| Core | Poster | 10 points | Create a poster that effectively communicates the project's key points for the Innovation Showcase. | Weeks 13-15 | Innovation Showcase |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions, and actively participate in discussions. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and other forms of academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center for accommodations. | N/A | N/A |
