| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Project Definition Deliverable | N/A | A deliverable that includes the project's title, a clear problem statement, and a few paragraphs describing the project. | N/A | N/A |
| Core | Analysis Deliverable | N/A | A deliverable that includes a summary of the work completed, issues resolved, key requirements, technical challenges, and time spent by each team member. | N/A | N/A |
| Core | Quality Assurance Presentation I | N/A | A presentation demonstrating the traceability of requirements to the design, architecture, test plan, testing strategies, and process, and test tools used to verify requirements and validate the design. | N/A | N/A |
| Core | Quality Assurance Presentation II | N/A | A presentation highlighting the main difficulties encountered and how they were overcome, with the objective of helping other class members learn from the experience. | N/A | N/A |
| Core | Design Report | N/A | A report detailing the design of the software, including maintainability, usability, and reliability. | N/A | N/A |
| Core | Final Report | N/A | A comprehensive report summarizing the entire project, including the work completed, issues resolved, and the final product. | N/A | N/A |
| Core | Project Proposal | N/A | A written proposal detailing the project, including team member information, project description, customer information, engineering challenges, development process, and schedule. | N/A | N/A |
| Core | Regular Status Reports | N/A | Regular reports detailing the progress of the project, including screenshots and updates on the project's status. | N/A | N/A |
| Core | Intermediate and Final Evaluations by Customers | N/A | Evaluations completed by customers at the end of each semester, assessing the project's progress and quality. | N/A | N/A |
| Core | Group Meetings | N/A | Regular group meetings to discuss project progress, issues, and customer interactions. | N/A | N/A |
| Core | Individual Group Meetings | N/A | Ad-hoc meetings with the coordinator to address specific issues or concerns related to the project. | N/A | N/A |
| Core | Project Management Evaluation | N/A | Evaluation of the project management aspects by the course coordinator, based on regular reports and the overall professionalism of the team. | N/A | N/A |
| Core | Team Member Adjustment | N/A | Adjustment of team member grades based on the team's agreement regarding individual contributions. | N/A | N/A |
| Support | Reading the Rules for Projects Document | N/A | Students should read and understand the rules for projects, which outline the expectations and requirements for the course. | N/A | N/A |
| Support | Understanding Group Structure and Roles | N/A | Students should be aware of the group structure and the roles of each team member, including the project manager and specialized roles like 'chief programmer' and 'user interface expert'. | N/A | N/A |
