| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Outline Assignment | 10% | Outline your topic and research question for your research essay/podcast. Locate a case and overview your main argument and academic sources related to your topic. | July 21, 23:59 | N/A |
| Core | Pre-lecture Quizzes | 60% | Multiple choice, short, and long answer questions for 8 classes of your choosing out of 11 class sessions. | 17:00 before the class meeting time | N/A |
| Core | Research Paper/Podcast | 30% | Develop a scholarly argument about your essay or podcast topic, drawing from class materials, academic sources, and non-academic sources (individually or with a partner). | August 11, 23:59 | N/A |
| Support | Reading Materials | N/A | Students are expected to read the required material before each lecture. | N/A | N/A |
| Support | Participation | N/A | Participate in lecture-based surveys and discussion groups. | N/A | N/A |
| Support | Office Hours | N/A | Students can attend office hours on Zoom for assistance. | N/A | N/A |
| Support | Absence Declaration | N/A | Students are required to formally declare any absence from academic participation using the Absence Declaration tool on ACORN. | N/A | N/A |
| Support | Academic Integrity | N/A | Students are expected to maintain academic integrity and avoid plagiarism. | N/A | N/A |
| Support | Accessibility Centre | N/A | Students with diverse needs are encouraged to register with the Accessibility Centre for accommodations. | N/A | N/A |
| Support | Equity & Diversity | N/A | The course aims to create an atmosphere of mutual respect and inclusivity, and any behavior that undermines this will not be tolerated. | N/A | N/A |
