| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Podcast Team Project | 50% | Collaboratively write and produce a 20-25 minute podcast episode in a 3-student team. | March 31st, 2024 | N/A |
| Core | Podcast Proposal | 5% | Write a one-page proposal with a tentative title, specific theme, research question, tentative argument, and reflections on the purpose, importance, and relation to invisible punishment. | January 28th, 2024 | N/A |
| Core | Sources Analysis | 13% | Select and analyze two scholarly research articles or book chapters related to the podcast theme, providing a summary and response for each. | February 8th, 2024 | N/A |
| Core | Podcast Layout and Script | 10% | Describe the setup and structure of the podcast episode and draft a script. | February 29th, 2024 | N/A |
| Core | Podcast | 18% | Record and edit the podcast episode, including voice, transcription, source attribution, production, and post-production. | March 31st, 2024 | N/A |
| Core | Group Meetings with Instructor | 4% | Meet with the instructor at two different points in the semester to discuss the podcast project. | February 12-16th and March 11-15th, 2024 | N/A |
| Core | Individual Learning Plan | 50% | Choose from various options to create an individual learning plan, including reading journal, reflections on classes, AI output evaluation, and in-class participation. | February 25th, 2024 | N/A |
| Core | Reading Journal | 4% per reading | Write a critical reflection on each assigned reading, including reactions, key ideas, annotated questions, and relevance to invisible punishment. | Mondays at 11 am | N/A |
| Core | Reflections on Classes | 2% per reflection | Write a reflection on individual learning after each class discussion, focusing on the theme, connections, and personal insights. | Thursdays at 6 pm | N/A |
| Core | AI Output Evaluation | 10% | Evaluate the AI-generated response to a prompt using course readings and lectures. | February 18th, 2024 | N/A |
| Core | In-Class Participation | 20% | Actively participate in class discussions, exercises, and assignments, and maintain attendance. | Ongoing | N/A |
| Support | Read Syllabus | N/A | Read the course syllabus before the first class. | N/A |
| Support | Attend Classes | N/A | Attend all classes and arrive on time. | N/A |
| Support | Complete Assigned Readings | N/A | Complete assigned readings before each class. | N/A |
| Support | Participate in Class Activities | N/A | Engage in various class activities, including icebreakers, group discussions, and skill workshops. | N/A |
| Support | Create Podcast Project Teams | N/A | Form teams for the podcast project. | N/A |
| Support | Discuss Podcast Ideas | N/A | Discuss podcast ideas and questions within teams. | N/A |
| Support | Identify Sources | N/A | Identify relevant sources for the podcast project. | N/A |
| Support | Integrate Academic Research | N/A | Learn how to integrate academic research into podcasts. | N/A |
| Support | Map Out Presentations | N/A | Plan and structure podcast presentations. | N/A |
| Support | Brainstorm Sounds and Effects | N/A | Brainstorm sounds and effects for the podcast. | N/A |
| Support | Fill Peer Evaluation Forms | N/A | Complete peer evaluation forms for the podcast project. | N/A |
| Support | Fill Course Evaluations | N/A | Complete course evaluations at the end of the term. | N/A |
| Support | Contact Instructor for Absence | N/A | Contact the instructor and declare absence on ACORN for any missed classes due to illness or other reasons. | N/A |
| Support | Use Accessibility Services | N/A | Utilize Accessibility Services for accommodations and support. | N/A |
| Support | Use Mental Health and Wellness Services | N/A | Access mental health and wellness services provided by the university. | N/A |
| Support | Use Student Academic Success Resources | N/A | Utilize resources for academic support and skill development. | N/A |
| Support | Use Writing Centre | N/A | Access the writing centre for writing support and advice. | N/A |
| Support | Use Library Resources | N/A | Utilize the university library for research and borrowing. | N/A |
