| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Introductory Discussion | 25 points | Participate in an introductory discussion via VoiceThread. | 1/11 (post), 1/14 (comments) | N/A |
| Core | Site Identification Paper | 25 points | Submit a 1-page double-spaced paper identifying potential capstone sites. | 1/14 | N/A |
| Core | Elevator Speech | 50 points | Post an elevator speech in VoiceThread for practice. | 1/19 | N/A |
| Core | Elevator Speech Peer Critique | N/A | Provide peer critique for elevator speeches. | 1/22 | N/A |
| Core | CITI Health Information Privacy & Security | 50 points | Complete Health Information Privacy & Security training through CITI. | 1/28 | N/A |
| Core | LinkedIn Page | 50 points | Complete or update LinkedIn profile following guidelines. | 1/28 | N/A |
| Core | Affiliation Agreement Submission | N/A | Submit information to start an affiliation agreement with the capstone site. | 2/4 | N/A |
| Core | Responsible Conduct of Research Training - CITI Program | 50 points | Complete Responsible Conduct of Research training through CITI. | 2/11 | N/A |
| Core | Site Presentation | 100 points | Prepare and present selected capstone sites in VoiceThread. | 2/16 | N/A |
| Core | Site Presentation Peer Critique | N/A | Provide peer critique for site presentations. | 2/18 | N/A |
| Core | Human Subjects Research Training - CITI Program | 50 points | Complete Human Subjects Research training through CITI. | 2/25 | N/A |
| Core | Proposed Capstone Project | 50 points | Submit information about proposed projects for capstone sites. | 2/25 | N/A |
| Core | Reflection Paper | 50 points | Submit a reflection paper on course experiences. | 3/1 | N/A |
| Support | Readings | N/A | Engage with required readings available in D2L. | N/A | N/A |
| Support | Discussions | N/A | Participate in discussions via VoiceThread. | N/A | N/A |
| Support | Papers | N/A | Complete papers as part of the course. | N/A | N/A |
| Support | Presentations | N/A | Prepare and deliver presentations. | N/A | N/A |
| Support | Activities | N/A | Participate in various course activities. | N/A | N/A |
| Support | Required Extracurricular Activities | N/A | Meet with potential capstone sites to develop an affiliation agreement. | N/A | N/A |
| Support | Communication | N/A | Use official UA email and D2L announcements for course communication. | N/A | N/A |
| Support | Absence and Class Participation Policy | N/A | Follow UA's policy regarding class attendance, participation, and administrative drops. | N/A | N/A |
| Support | Workload Expectation | N/A | Allocate 2 hours per week for online lectures and 4 hours per week for outside work. | N/A | N/A |
| Support | Makeup Policy for Late Registration | N/A | Contact the instructor to determine makeup due dates for late registrants. | N/A | N/A |
| Support | Grading Scale and Policies | N/A | Understand the grading scale and policies for the course. | N/A | N/A |
| Support | Accessibility and Accommodations | N/A | Contact the instructor or Disability Resource Center for accessibility and accommodation needs. | N/A | N/A |
| Support | Code of Academic Integrity | N/A | Adhere to the UA Code of Academic Integrity. | N/A | N/A |
| Support | Nondiscrimination and Anti-harassment Policy | N/A | Be aware of and adhere to the UA's nondiscrimination and anti-harassment policy. | N/A | N/A |
| Support | Subject to Change Statement | N/A | Understand that course syllabus information may be subject to change with advance notice. | N/A | N/A |
