| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Project Proposal | 10 points (10%) | Create a proposal detailing the textile material, its intended application, and research objectives. Include a timeline and assign roles. | Week 3 | N/A |
| Core | Material Research and Development | 15 points (15%) | Research existing textile materials, and develop a new or improved textile with enhanced properties. | Weeks 4-6 | N/A |
| Core | Fabrication and Testing | 18 points (18%) | Fabricate textile samples and conduct tests to evaluate performance, including strength, wear resistance, and environmental impact. | Weeks 7-10 | N/A |
| Core | Optimization and Analysis | 10 points (10%) | Optimize the textile based on testing and analyze data against industry standards. | Weeks 11-12 | N/A |
| Core | Final Report | 10 points (10%) | Document the research and development process, challenges, solutions, and outcomes. | Weeks 13-15 | N/A |
| Core | Presentation | 5 points (5%) | Prepare and deliver a presentation for the Innovation Showcase. | Weeks 13-15 | N/A |
| Core | Poster | 10 points (10%) | Create a poster for the Innovation Showcase. | Weeks 13-15 | N/A |
| Support | Attendance and Participation | N/A | Attend all scheduled class meetings and individual sessions. Inform the instructor in advance of any absences and make arrangements for missed work. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to ASU's academic integrity policy, avoiding plagiarism and academic dishonesty. | N/A | N/A |
| Support | Accommodations | N/A | Students with disabilities or special needs should contact the ASU Disability Resource Center for accommodations and notify the instructor. | N/A | N/A |
