| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Class Participation & Attendance | 10% | Students are expected to actively contribute to creating and sustaining an integrative learning environment. | Ongoing | N/A |
| Core | Weekly Learning Journals | 30% | Students will reflect on personal takeaways from sessions and readings, connecting them to other courses and experiences, and applying them to personal, interpersonal, and professional contexts. | Every Thursday following class | N/A |
| Core | Midterm Personal Application Paper | 25% | Reflect on a difficult interpersonal interaction and apply course concepts to improve the situation. | Monday, October 28, 2019 | N/A |
| Core | Final Organizational Paper | 35% | In groups, study an organization, reflect on its culture, and propose ways to make it more inclusive, linking this to organizational impact. | Monday, December 2 | N/A |
| Support | Required Readings | N/A | Students are required to read several articles from Harvard Business Review. | N/A | N/A |
| Support | Group Work Guidelines | N/A | Students are expected to read the 'Working in Teams: Guidelines for Rotman Commerce Students' document and adhere to the guidelines for group projects. | N/A | N/A |
| Support | Accessibility Services | N/A | Students with disabilities or accessibility concerns should contact Accessibility Services. | N/A | N/A |
| Support | Academic Integrity | N/A | Students are expected to maintain academic integrity and are responsible for understanding the University's policies on academic misconduct. | N/A | N/A |
| Support | Email Communication | N/A | Important course information may be communicated via email, so students should ensure their UTmail+ email is set up correctly. | N/A | N/A |
| Support | Lecture Recording | N/A | Students must seek permission from the instructor to record lectures or course materials and are prohibited from publishing them without formal permission. | N/A | N/A |
