| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Idea Fair Commentary | 10% | Provide feedback on classmates' business ideas posted on the Idea Fair Discussion Board. | September 30 | N/A |
| Core | Opportunity Description | 10% | Submit a one-page description of your best business opportunity. | October 1 | N/A |
| Core | Opportunity Assessment | 10% | Assess the business opportunity and decide whether to continue developing the idea or join another team. | October 7 | N/A |
| Core | Class Prep Assignments | 20% | Submit short answers to pre-specified questions for class preparation. | Ongoing | N/A |
| Core | Class Contribution | 20% | Participate actively in class discussions, demonstrating good listening skills, relevance, and willingness to test new ideas. | Ongoing | N/A |
| Core | Market Presentation | 5% | Present a 5-minute report on your team's market research. | November 4 | N/A |
| Core | Slide Deck | 20% | Create a slide deck for your business plan. | December 1 | N/A |
| Core | Video Presentation | 10% | Record and submit a video presentation of your business plan. | December 1 | N/A |
| Core | Business Plan Commentary | 5% | Provide commentary on another team's business plan. | December 2/3 or December 9/10 | N/A |
| Support | Reading Materials | N/A | Read assigned readings and cases before each class. | N/A | N/A |
| Support | Online Communication | N/A | Participate in online discussions and communicate professionally through various online mechanisms. | N/A | N/A |
| Support | Presentation Skills | N/A | Practice and improve public speaking skills through short and formal presentations. | N/A | N/A |
| Support | Written Assignments | N/A | Ensure clear, concise, and correct writing in all written coursework. | N/A | N/A |
| Support | Teamwork | N/A | Work effectively in teams, addressing challenges and ensuring equal contributions. | N/A | N/A |
| Support | Accessibility Needs | N/A | Accommodate accessibility needs, including extensions for students registered with Accessibility Services. | N/A | N/A |
| Support | Academic Integrity | N/A | Adhere to academic integrity guidelines, avoiding plagiarism and unauthorized collaboration. | N/A | N/A |
| Support | Email Communication | N/A | Check UTmail+ email regularly for important course information. | N/A | N/A |
| Support | Quercus Usage | N/A | Access course materials and submit assignments through the online course page on Quercus. | N/A | N/A |
| Support | Recording Lectures | N/A | Obtain permission from the instructor before recording lectures or course materials. | N/A | N/A |
